언론사,날짜_원문,제목,URL,구분
머니투데이,3시간 전,"박지원, 우상호 겨냥 ""'당이 왜 이래'는 카톡방에서나""",https://www.mt.co.kr/politics/2025/10/07/2025100710130057855,대표 기사
Sub-article,"뉴스1
4시간 전
네이버뉴스","박지원 ""우상호,'당이 왜 이래'는 카톡방에서나…이견 노출되면 곤란""",https://www.news1.kr/politics/assembly/5935492,Sub 기사
Sub-article,"조선일보
2시간 전
네이버뉴스","박지원, 우상호 겨냥 “‘당이 왜 이래’는 카톡에서나, 엇박자 노출은...",https://www.chosun.com/politics/assembly/2025/10/07/QGETML7NUFBJ5NKFHXBWKI463U/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,Sub 기사
Sub-article,"뉴시스
2시간 전
네이버뉴스","與 박지원, 우상호 겨냥 ""'당이 왜 이래' 하시면 안 된다""",https://www.newsis.com/view/NISX20251007_0003356367,Sub 기사
Sub-article,"아주경제
2시간 전","박지원, 우상호에게 ""'당이 왜 이래'라는 말은 카톡방에서나""",https://www.ajunews.com/view/20251007111620207,Sub 기사
서울경제,1일 전,"겉은 인스타인데…카톡, 15년만에 대수술 노림수는? [김성태의 딥테크 ...",https://www.sedaily.com/NewsView/2GZ2M1T1QJ,대표 기사
노컷뉴스,2일 전,"카톡 개편 혹평에 책임론↑…그래도 정면돌파, 왜?",https://www.nocutnews.co.kr/news/6409828?utm_source=naver&utm_medium=article&utm_campaign=20251005050109,대표 기사
이코노믹리뷰,22시간 전,현금은 옛말…카톡 송금봉투가 삼킨 추석 풍경,https://www.econovill.com/news/articleView.html?idxno=713593,대표 기사
중앙일보,3일 전,카톡은 인스타가 부러웠다…역풍 맞은 '국민메신저'의 오판,https://www.joongang.co.kr/article/25372177,대표 기사
Sub-article,"국민일보
3일 전
네이버뉴스",[창] 카톡 탈출,https://www.kmib.co.kr/article/view.asp?arcid=1759292398&code=11171382&cp=nv,Sub 기사
Sub-article,"중앙SUNDAY
3일 전
네이버뉴스","카톡, 인스타 따라하다 역풍…한메일·프리챌은 '유료화'했다가 무너져",https://www.joongang.co.kr/article/25372087,Sub 기사
뉴시스,1주 전,"""메신저 본질에 충실"" 네이트온, 앱스토어 1위…카톡 불만 반사이익",https://www.newsis.com/view/NISX20250929_0003348144,대표 기사
Sub-article,"파이낸셜뉴스
1주 전
네이버뉴스","""카톡 대신할 메신저 없나""…대체 메신저들 ""저희도 있어요""",http://www.fnnews.com/news/202509300934125684,Sub 기사
Sub-article,"서울경제
1주 전
네이버뉴스","""쉰내 나는 인스타"" 조롱 쏟아진 카톡 '대탈출'…이용자들 ""메신저는 메...",https://www.sedaily.com/NewsView/2GY3RBZASH,Sub 기사
Sub-article,"뉴스1
1주 전
네이버뉴스",카톡 개편에 라인·네이트온 '활짝'…신규 설치 건수 38배 폭증,https://www.news1.kr/it-science/general-it/5929767,Sub 기사
Sub-article,"한겨레
1주 전
네이버뉴스",카톡 헛발질 덕분에…‘왕년의 1위’ 네이트온 “노젓고 있지 뭐”,https://www.hani.co.kr/arti/society/society_general/1221607.html,Sub 기사
아이뉴스24,1일 전,"""챗GPT와 대화, 필요한 순간 먼저 제안"" 카톡의 AI 변신",http://www.inews24.com/view/1893691,대표 기사
뉴시스,3일 전,"""내 카톡 지시 본 거야, 안 본 거야?""…사라지지 않는 '1'에 부장 열 받...",https://www.newsis.com/view/NISX20251002_0003353211,대표 기사
